title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,scraped_date,url
One Kanal Ultra Luxury House For Sale In DHA Phase 2 Islamabad,PKR 10.8 Crore,108000000,5,6,1 Kanal,4500.0,24000,House,True,19,19Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_one_kanal_ultra_luxury_house_for_sale_in_dha_phase_2_islamabad-54104545-339-1.html
1 Kanal Beautiful House For Sale In DHA Phase 2 Islamabad,PKR 13.8 Crore,138000000,5,6,1 Kanal,4500.0,30666,House,True,18,18Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_beautiful_house_for_sale_in_dha_phase_2_islamabad-54150609-339-1.html
1 Kanal Beautiful House For Sale In DHA Phase 2 Islamabad,PKR 10.8 Crore,108000000,7,7,1 Kanal,4500.0,24000,House,True,18,18Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_beautiful_house_for_sale_in_dha_phase_2_islamabad-54162412-339-1.html
1 kanal beautiful House For Sale In DHA phase 2 Islamabad,PKR 11.5 Crore,115000000,5,6,1 Kanal,4500.0,25555,House,True,27,27Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_beautiful_house_for_sale_in_dha_phase_2_islamabad-54152159-339-1.html
"10 Marla Luxury House With Basement For Sale Sector C1, Bahria Enclave Islamabad",PKR 5.7 Crore,57000000,8,7,10 Marla,2250.0,25333,House,True,8,super hot8Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_10_marla_luxury_house_with_basement_for_sale_sector_c1_bahria_enclave_islamabad-54398830-11987-1.html
Your Dream 10 Marla House Is Available In Bahria Enclave - Sector A,PKR 5.65 Crore,56500000,4,4,10 Marla,2250.0,25111,House,True,21,super hot21VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,98,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_your_dream_10_marla_house_is_available_in_bahria_enclave_-_sector_a-52815974-11970-1.html
Highly-Desirable House Available In I-8/4 For Sale,PKR 13.95 Crore,139500000,6,6,14 Marla,3150.0,44285,House,True,29,super hot291VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,99,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/i_8_i-8_4_highly-desirable_house_available_in_i-8_4_for_sale-54147611-3444-1.html
Highly-Desirable House Available In I-9/4 For Sale,PKR 8.5 Crore,85000000,6,6,9.3 Marla,2092.5,40621,House,True,50,super hot501VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,99,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/i_9_i-9_4_highly-desirable_house_available_in_i-9_4_for_sale-54130618-3450-1.html
1 Kanal Brand New Designer House Available For Sale In Prime Location Of Dha 2 Islamabad,PKR 14.9 Crore,149000000,5,6,1 Kanal,4500.0,33111,House,True,23,super hot23Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_designer_house_available_for_sale_in_prime_location_of_dha_2_islamabad-54167266-339-1.html
1800 Square Feet Spacious House Available In MPCHS - Multi Gardens For Sale,PKR 3.9 Crore,39000000,,,8 Marla,1800.0,21666,House,True,29,super hot29VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,98,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_1800_square_feet_spacious_house_available_in_mpchs_-_multi_gardens_for_sale-54532885-3115-1.html
