title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,listing_mode,scraped_date,url
8 Marla Luxury Double Unit House for Sale in CDA Sector D-12,PKR 8.5 Crore,85000000,5,6,8 Marla,1800.0,47222,House,True,15,15Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_d-12_8_marla_luxury_double_unit_house_for_sale_in_cda_sector_d-12-54488006-160-1.html
25x50 Brand New Most Beautiful Luxurious House Available For Sale In G-14/4 Islamabad At Ideal Location,PKR 5.5 Crore,55000000,4,5,5 Marla,1125.0,48888,House,False,11,11Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/g_14_g-14_4_25x50_brand_new_most_beautiful_luxurious_house_available_for_sale_in_g-14_4_islamabad_at_ideal_location-54215491-3346-1.html
14 Marla House For Sale In D-12 Islamabad,PKR 18 Crore,180000000,9,7,14 Marla,3150.0,57142,House,False,18,18Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_d-12_14_marla_house_for_sale_in_d-12_islamabad-54483032-160-1.html
"1 Kanal Luxury House For Sale In DHA Phase 2, Islamabad",PKR 12.5 Crore,125000000,5,6,1 Kanal,4500.0,27777,House,True,19,super hot19Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_luxury_house_for_sale_in_dha_phase_2_islamabad-53583491-339-1.html
"Luxury Single Unit Designer House for Sale | House No. 785 | Executive Block, Faisal Hills | Near Islamabad",PKR 2.5 Crore,25000000,5,5,5 Marla,1125.0,22222,House,True,27,super hot27Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/faisal_hills_faisal_hills_-_executive_block_luxury_single_unit_designer_house_for_sale_house_no_785_executive_block_faisal_hills_near_islamabad-54520536-16527-1.html
Luxury Designer House for Sale Faisal Hills Block A (Single Unit),PKR 2.45 Crore,24500000,5,5,5 Marla,1125.0,21777,House,True,29,super hot29Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/faisal_hills_faisal_hills_-_block_a_luxury_designer_house_for_sale_faisal_hills_block_a_single_unit-54520535-12655-1.html
10 MARLA LUXURY HOUSE FOR SALE IN FAISAL TOWN BLOCK A,PKR 5.9 Crore,59000000,6,7,10 Marla,2250.0,26222,House,True,49,super hot49Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_a_10_marla_luxury_house_for_sale_in_faisal_town_block_a-54431508-16416-1.html
B17 Block E Brand New House Available For Sale A+ Construction,PKR 4.3 Crore,43000000,6,6,8 Marla,1800.0,23888,House,True,27,super hot27Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_e_b17_block_e_brand_new_house_available_for_sale_a_construction-54457593-3120-1.html
G13 Brand New Luxury House For Sale Size 40*80 Original Picture Attached  Rental Value 350k,PKR 13 Crore,130000000,6,6,14 Marla,3150.0,41269,House,True,48,super hot481VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,99,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_g-13_g13_brand_new_luxury_house_for_sale_size_40_80_original_picture_attached_rental_value_350k-54034353-330-1.html
10 Marla Luxurious House for Sale in B-17 Islamabad,PKR 6.1 Crore,61000000,6,6,10 Marla,2250.0,27111,House,True,12,super hot12Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c_10_marla_luxurious_house_for_sale_in_b-17_islamabad-54517540-3118-1.html
